Fold,Loss,Accuracy,Sensitivity,Specificity,Precision,Recall,F1-score,AUC
1,0.10637318342924118,0.96875,0.9764397905759162,0.9617224880382775,0.9588688946015425,0.9764397905759162,0.96757457846952,0.997213106540745
2,0.1597343534231186,0.9700374531835206,0.9778869778869779,0.9619289340101523,0.9636803874092009,0.9778869778869779,0.9707317073170733,0.9945684031978448
3,0.1709481179714203,0.9625468164794008,0.9900990099009901,0.9345088161209067,0.9389671361502347,0.9900990099009901,0.963855421686747,0.9965458762500936
4,0.07046506553888321,0.978776529338327,0.9704433497536946,0.9873417721518988,0.9874686716791979,0.9704433497536946,0.9788819875776397,0.9983662779821663
5,0.07329428941011429,0.9850187265917603,0.9975062344139651,0.9725,0.9732360097323601,0.9975062344139651,0.9852216748768472,0.9988092269326684
6,0.053917594254016876,0.978776529338327,0.9806295399515739,0.9768041237113402,0.9782608695652174,0.9806295399515739,0.9794437726723095,0.9986333341653978
7,0.10762709379196167,0.9750312109862672,0.9804878048780488,0.969309462915601,0.9710144927536232,0.9804878048780488,0.9757281553398058,0.9972397230366165
8,0.09048876911401749,0.97125,0.9648648648648649,0.9767441860465116,0.9727520435967303,0.9648648648648649,0.9687924016282227,0.9982212445003144
9,0.07195133715867996,0.98,0.9706601466992665,0.989769820971867,0.9900249376558603,0.9706601466992665,0.980246913580247,0.998455468080716
10,0.14739340543746948,0.9637046307884856,0.9578163771712159,0.9696969696969697,0.9698492462311558,0.9578163771712159,0.9637952559300874,0.9965285610446901
Average,0.1052193209528923,0.9733891896706088,0.9766834096096515,0.9700326573663525,0.9704122689375124,0.9766834096096515,0.9734271869078499,0.9974581221731252
